30,30,13,5,1,1,n,n
31,29,10,7,1,1,n,n
32,28,3,4,1,5,c,n
27,33,5,13,2,5,d,n
25,35,9,4,1,1,n,n
26,34,12,13,1,1,n,n
25,35,7,6,1,1,n,n
26,34,3,9,1,5,d,n
25,35,8,2,2,1,n,c
27,33,10,13,2,1,n,d
28,32,11,7,1,1,n,n
29,31,6,11,2,1,n,c
27,33,6,8,1,1,n,n
26,34,13,11,1,1,n,n
27,33,6,6,1,1,n,n
27,33,8,2,2,1,n,c
29,31,7,4,1,1,n,n
30,30,14,3,1,1,n,n
31,29,3,4,1,5,d,n
30,30,3,5,1,5,d,n
29,31,5,12,2,5,d,n
27,33,6,2,2,1,n,c
29,31,10,13,2,1,n,d
30,30,8,5,1,1,n,n
31,29,4,6,1,5,d,n
30,30,13,14,1,1,n,n
29,31,13,6,1,1,n,n
30,30,6,5,1,1,n,n
31,29,12,10,2,1,n,d
32,28,8,13,1,1,n,n
31,29,3,2,2,5,c,n
36,24,10,10,1,1,n,n
36,24,3,6,1,5,d,n
35,25,14,2,2,1,n,d
36,24,2,2,2,5,c,n
36,24,9,13,1,1,n,n
35,25,3,10,2,5,d,n
33,27,10,14,2,1,n,d
34,26,14,12,1,1,n,n
35,25,10,10,2,1,n,d
36,24,3,2,2,5,c,n
41,19,7,5,1,1,n,n
42,18,2,10,1,5,d,n
41,19,9,12,2,1,n,d
42,18,4,8,1,5,d,n
41,19,4,5,1,5,d,n
40,20,4,7,1,5,d,n
39,21,13,9,1,1,n,n
40,20,8,7,1,1,n,n
41,19,14,2,2,1,n,d
42,18,3,9,1,5,d,n
41,19,4,6,1,5,d,n
40,20,9,2,2,1,n,d
41,19,5,9,1,5,d,n
40,20,2,12,1,5,d,n
39,21,6,13,2,1,n,c
37,23,12,13,2,1,n,d
38,22,2,13,1,5,d,n
37,23,6,8,1,1,n,n
36,24,11,7,1,1,n,n
37,23,2,11,2,5,d,n
35,25,3,9,1,5,d,n
34,26,14,12,1,1,n,n
35,25,3,10,2,5,d,n
33,27,11,12,2,1,n,d
34,26,12,9,1,1,n,n
35,25,8,11,2,1,n,c
33,27,10,13,2,1,n,d
34,26,3,5,1,5,d,n
33,27,13,7,1,1,n,n
34,26,14,5,1,1,n,n
35,25,5,10,2,5,d,n
33,27,7,12,2,1,n,c
31,29,11,14,2,1,n,d
32,28,3,14,1,5,d,n
31,29,3,7,1,5,d,n
30,30,11,13,1,1,n,n
29,31,6,3,1,1,n,n
30,30,2,14,1,5,d,n
29,31,13,6,1,1,n,n
30,30,13,12,1,1,n,n
31,29,4,14,2,5,d,n
29,31,5,9,1,5,d,n
28,32,12,5,1,1,n,n
29,31,7,11,2,1,n,c
27,33,10,5,1,1,n,n
28,32,5,6,1,5,d,n
27,33,14,6,1,1,n,n
28,32,3,8,1,5,d,n
27,33,8,8,1,1,n,n
27,33,6,5,1,1,n,n
28,32,14,13,1,1,n,n
29,31,9,3,1,1,n,n
30,30,6,11,1,1,n,n
29,31,7,12,2,1,n,c
27,33,5,11,2,5,d,n
25,35,2,7,1,5,d,n
24,36,7,11,1,1,n,n
23,37,13,14,2,1,n,d
24,36,11,9,1,1,n,n
25,35,11,6,1,1,n,n
26,34,3,10,1,5,d,n
25,35,13,14,2,1,n,d
26,34,13,3,1,1,n,n
27,33,3,12,2,5,d,n
25,35,3,14,2,5,d,n
23,37,4,8,1,5,d,n
22,38,12,5,1,1,n,n
23,37,7,13,2,1,n,c
21,39,13,12,2,1,n,d
22,38,8,10,1,1,n,n
21,39,3,10,2,5,d,n
19,41,13,6,1,1,n,n
20,40,4,9,1,5,d,n
19,41,12,6,1,1,n,n
20,40,13,14,1,1,n,n
19,41,3,4,1,5,c,n
14,46,4,12,1,5,d,n
13,47,6,4,1,1,n,n
14,46,11,3,1,1,n,n
15,45,10,11,2,1,n,d
16,44,5,7,1,5,d,n
15,45,4,5,1,5,c,n
10,50,11,7,1,1,n,n
11,49,3,2,2,5,c,n
16,44,6,14,1,1,n,n
15,45,13,9,1,1,n,n
16,44,8,10,1,1,n,n
15,45,2,10,2,5,d,n
13,47,4,11,2,5,d,n
11,49,2,6,1,5,d,n
10,50,10,2,2,1,n,d
11,49,4,11,2,5,d,n
9,51,10,9,1,1,n,n
10,50,8,9,1,1,n,n
9,51,11,7,1,1,n,n
10,50,6,3,1,1,n,n
11,49,12,5,1,1,n,n
12,48,11,2,2,1,n,d
13,47,4,14,2,5,d,n
11,49,4,12,2,5,d,n
9,51,12,12,2,1,n,d
10,50,7,3,1,1,n,n
11,49,5,6,1,5,d,n
10,50,7,6,1,1,n,n
11,49,4,9,1,5,d,n
10,50,9,6,1,1,n,n
11,49,2,12,2,5,d,n
9,51,10,2,2,1,n,d
10,50,6,8,1,1,n,n
9,51,4,2,2,5,c,n
14,46,13,11,1,1,n,n
15,45,12,7,1,1,n,n
16,44,8,6,1,1,n,n
17,43,4,6,1,5,d,n
16,44,9,8,1,1,n,n
17,43,10,3,1,1,n,n
18,42,6,2,2,1,n,c
20,40,12,13,1,1,n,n
19,41,4,9,1,5,d,n
18,42,5,6,1,5,d,n
17,43,3,2,2,5,c,n
22,38,8,10,1,1,n,n
21,39,9,9,1,1,n,n
21,39,12,3,1,1,n,n
22,38,3,5,1,5,d,n
21,39,5,11,2,5,d,n
19,41,12,12,2,1,n,d
20,40,5,13,1,5,d,n
19,41,12,13,2,1,n,d
20,40,12,7,1,1,n,n
21,39,12,7,1,1,n,n
