30,30,6,14,1,1,n,n
29,31,14,2,3,1,n,d
30,30,2,7,1,5,d,n
29,31,14,2,3,1,n,d
30,30,7,6,1,1,n,n
31,29,7,13,1,1,n,n
30,30,7,6,1,1,n,n
31,29,4,3,2,5,d,n
29,31,14,13,1,1,n,n
30,30,7,9,1,1,n,n
29,31,10,6,1,1,n,n
30,30,11,12,1,1,n,n
29,31,9,9,1,1,n,n
29,31,3,6,1,5,d,n
28,32,5,14,1,5,d,n
27,33,9,12,1,1,n,n
26,34,8,3,2,1,n,d
27,33,5,11,1,5,d,n
26,34,6,6,1,1,n,n
26,34,3,14,1,5,d,n
25,35,9,3,2,1,n,d
26,34,5,13,1,5,d,n
25,35,7,4,2,1,n,d
26,34,8,13,1,1,n,n
25,35,12,4,2,1,n,d
26,34,8,8,1,1,n,n
26,34,9,2,3,1,n,d
27,33,8,3,2,1,n,d
28,32,4,2,3,5,c,n
33,27,3,2,3,5,c,n
38,22,3,13,1,5,d,n
37,23,14,5,2,1,n,d
38,22,4,12,1,5,d,n
37,23,6,7,1,1,n,n
36,24,12,2,3,1,n,d
37,23,14,10,1,1,n,n
38,22,14,11,1,1,n,n
39,21,11,11,1,1,n,n
39,21,9,4,2,1,n,d
40,20,10,8,1,1,n,n
41,19,2,10,1,5,d,n
40,20,10,9,1,1,n,n
41,19,13,3,2,1,n,d
42,18,5,4,2,5,d,n
40,20,14,7,1,1,n,n
41,19,10,12,1,1,n,n
40,20,8,7,1,1,n,n
41,19,6,11,1,1,n,n
40,20,12,7,1,1,n,n
41,19,9,10,1,1,n,n
40,20,7,12,1,1,n,n
39,21,2,14,1,5,d,n
38,22,2,13,1,5,d,n
37,23,11,14,1,1,n,n
36,24,9,7,1,1,n,n
37,23,8,6,1,1,n,n
38,22,6,5,2,1,n,d
39,21,2,6,1,5,d,n
38,22,7,7,1,1,n,n
38,22,14,12,1,1,n,n
39,21,2,12,1,5,d,n
38,22,2,13,1,5,d,n
37,23,5,2,3,5,c,n
42,18,4,4,2,5,d,n
40,20,5,11,1,5,d,n
39,21,4,3,2,5,d,n
37,23,9,4,2,1,n,d
38,22,11,8,1,1,n,n
39,21,6,13,1,1,n,n
38,22,14,9,1,1,n,n
